Final Position,Report Position,Team,IMAGE,Color,Fuse Material,Wing Material,Wing Configuration,Winglets?,Tail Configuration,Landing Gear Configuration,"Landing Gear
Material",Motor Configuration,Motor,Propeller(s) Blades,Deployment Type,Boom Number,Radio Protocol,Weight (lb),Mission 1 Pass/Fail,Mission 1 Times,Mission 2 Times,Mission 3 Lap Count,Mission 3 Fastest Lap Time,Wingspan (ft),Syringes,Max Packages,NOTES
,41,Franklin W. Olin College of Engineering,,Black/Cyan,Wood,Composite Foam,Conventional High Wing,No,Twin Tail,Tricycle,Carbon Fiber Tube,Twin,,2,,2,,,Pass,,,,,,,,
,42,The Pennsylvania State Univsersity,,White/Pink,,Composite Foam,Conventional High Wing,No,Conventional,Tricycle,,Twin,,2,,,,,Pass,,,,,,,,
,43,Cornell University,,Red,Wood,Wood ,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Twin,,2,,1,,,,,,,,,,,
,44,Military Technical College,,,,,,,,,,,,,,,,,,,,,,,,,
,45,Wentworth Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,
,46,University of Alaska Fairbanks,,Blue/Yellow,Wood,Wood,Conventional High Wing,No,Conventional,Tricycle,,Twin,,2,,,,,Pass,,,,,,,,
,47,San Diego State Univsersity,,Red,Carbon Fiber Composite,Carbon Fiber Composite,Conventional High Wing,No,Conventional,Tricycle,Composite,Single,,2,,,,,Pass,,,,,,,,
,48,San Jose State University,,Yellow/Blue,Wood,Wood,Conventional High Wing,Yes,T-Tail,"Tricycle, Main Retracts","CFRP Main, Steel Front",Twin,E-flite,2,Servo Drop,N/A,Spektrum,12,Pass,,"42.36, 48.31, 47.99, 2.20",,,,,5,
,49,Worcester Polytechnic Institute,,,Wood ,Wood,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Single,,3,,N/A,,,Fail,,,,,,,,
,50,North Dakota State Univsersity,,Yellow/Green,,,,,,,,,,,,,,,,,,,,,,,
,51,Military Instittute of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,
,52,Rutgers,,,,,,,,,,,,,,,,,,,,,,,,,
,53,Clarkson University,,Black/Green,Carbon Fiber Composite,Carbon Fiber Composite,Conventional High Wing,Yes,Box,Tricycle,Carbon Fiber Composite,Twin,,2,Bottom Drop,2,,,Fail,,,,,,,3,
,54,"University of Californcia, Merced",,,,,,,,,,,,,,,,,,,,,,,,,
,55,University of Oklahoma,,Red,Wood,Wood,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Twin,,3,,N/A,,,Pass,,,,,,,,
,56,Brigham Young University Provo,,,,,,,,,,,,,,,,,,,,,,,,,
,57,University of Colorado Boulder,,,,,,,,,,,,,,,,,,,,,,,,,
,58,The Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,
,59,Tribhuvan University,,,,,,,,,,,,,,,,,,,,,,,,,
,60,Rose-Hulman Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,
,61,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,,,,,,,
,62,Gebze Technical University,,,,,,,,,,,,,,,,,,,,,,,,,
,63,Lehigh University,,White/Black,Fiberglass,Wood,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Tri,,2,,N/A,,,,,,,,,,,
,64,University of Alabama,,,,,,,,,,,,,,,,,,,,,,,,,
,65,Purdue University,,Gold,Wood,Wood,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Single,Hacker,2,Bottom Drop,N/A,,,Pass,,,,,,,,
,66,University of New South Whales,,,,,,,,,,,,,,,,,,,,,,,,,
,67,New Mexico State University,,White / Red,Wood,Wood,Conventional High Wing,No,Conventional,Tail Dragger,Aluminum,Single,,2,,1,,,,,,,,,,,Sailplane Style Fuse
,68,Trine University,,Checker,Foam,,,,,,,,,,,,,,,,,,,,,,
,69,University of South Alabama,,Black/White/Red/Blur,Carbon Fiber Composite,Wood,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Single,,2,,N/A,,,,,,,,,,,
,70,Columbia University in New York,,,,,,,,,,,,,,,,,,,,,,,,,
,71,"University of Maryland, Baltimore County",,,,,,,,,,,,,,,,,,,,,,,,,
,72,Florida Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,
,73,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,,,,,,,,,
,74,University of Ljubljana,,Black,Carbon Fiber Composite,Carbon Fiber Composite,Conventional High Wing,No,Conventional,Tricycle,Carbon Fiber Composite,Twin,Scorpion,2,,N/A,,,Pass ,"42.73, 36.9, 40.5, 2.00",,,,,,,
,75,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,
,76,Syracuse University,,,,,,,,,,,,,,,,,,,,,,,,,
,77,John Hopkins University,,,,,,,,,,,,,,,,,,,,,,,,,
,78,Manhattan College,,,,,,,,,,,,,,,,,,,,,,,,,
,79,Kent State University,,,,,,,,,,,,,,,,,,,,,,,,,
,80,Utah State University,,White/Blue/Orange,Foam Board,Wood,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Twin,,2,,1,Spektrum,,Pass,,,,,,,,
,81,Rowan University,,,,,,,,,,,,,,,,,,,,,,,,,
,82,Youngstown University,,,,,,,,,,,,,,,,,,,,,,,,,
,83,Ankara Yildirim Beyazit Univeristy,,,,,,,,,,,,,,,,,,,,,,,,,
,84,"Birla Institute of Tech and Science, Birla Goa Campus",,,,,,,,,,,,,,,,,,,,,,,,,
,85,University of Tennessee at Chattanooga,,,,,,,,,,,,,,,,,,,,,,,,,
,86,Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,
,87,University of Missouri-Columbia,,,,,,,,,,,,,,,,,,,,,,,,,
,88,Alfred University,,,,,,,,,,,,,,,,,,,,,,,,,
,89,John Brown University,,,,,,,,,,,,,,,,,,,,,,,,,
,90,University of Arkansas - Fayetteville,,,,,,,,,,,,,,,,,,,,,,,,,
,91,City College of New York,,,,,,,,,,,,,,,,,,,,,,,,,
,92,Villanova University,,,,,,,,,,,,,,,,,,,,,,,,,
,93,New York University Tandon School of Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
,94,University at Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,
